Gene	Rank	Rating	Type	Proximity	QTL	PCHiC	Description
IL23R	1	5	Core	1	1	1	interleukin 23 receptor
ERAP2	2	4.519	Core	1	1	1	endoplasmic reticulum aminopeptidase 2
MST1	3	4.454	Core	1	1	0	macrophage stimulating 1
CYLD	4	4.396	Core	1	0	1	CYLD lysine 63 deubiquitinase
IRF1	5	4.393	Core	1	0	1	interferon regulatory factor 1
APEH	6	4.321	Core	1	1	0	acylaminoacyl-peptide hydrolase
SNX20	7	4.239	Core	1	0	1	sorting nexin 20
BSN	8	4.211	Core	1	1	0	bassoon presynaptic cytomatrix protein
RHOA	9	4.097	Core	1	0	1	ras homolog family member A
IL6R	10	4.067	Core	1	1	1	interleukin 6 receptor
NOD2	11	3.933	Core	1	0	0	nucleotide binding oligomerization domain containing 2
DAG1	12	3.875	Core	1	1	0	dystroglycan 1
ICAM1	13	3.787	Core	1	0	1	intercellular adhesion molecule 1
TYK2	14	3.771	Core	1	0	1	tyrosine kinase 2
USP4	15	3.768	Core	1	0	1	ubiquitin specific peptidase 4
PTPN2	16	3.764	Core	1	0	1	protein tyrosine phosphatase non-receptor type 2
IL19	17	3.743	Core	1	0	0	interleukin 19
IL10	18	3.731	Core	1	0	0	interleukin 10
LNPEP	19	3.729	Core	1	0	1	leucyl and cystinyl aminopeptidase
JAK2	20	3.718	Core	1	0	0	Janus kinase 2
SLC22A5	21	3.648	Core	1	0	1	solute carrier family 22 member 5
SPINT1	22	3.641	Peripheral	0	0	0	serine peptidase inhibitor, Kunitz type 1
CUL2	23	3.632	Core	1	0	1	cullin 2
CREM	24	3.613	Core	1	0	1	cAMP responsive element modulator
IL2	25	3.573	Core	1	0	0	interleukin 2
TLR4	26	3.558	Core	1	1	0	toll like receptor 4
FUT2	27	3.555	Core	1	1	0	fucosyltransferase 2
TCTA	28	3.547	Core	1	0	1	T cell leukemia translocation altered
SPINT2	29	3.545	Peripheral	0	0	0	serine peptidase inhibitor, Kunitz type 2
CLN3	30	3.532	Core	1	0	1	CLN3 lysosomal/endosomal transmembrane protein, battenin
IL12B	31	3.526	Core	1	0	0	interleukin 12B
TNFRSF1A	32	3.503	Core	1	0	1	TNF receptor superfamily member 1A
STAT3	33	3.501	Core	1	0	0	signal transducer and activator of transcription 3
ICAM3	34	3.496	Core	1	0	1	intercellular adhesion molecule 3
BRD7	35	3.49	Core	0	0	1	bromodomain containing 7
IFNB1	36	3.488	Peripheral	0	0	0	interferon beta 1
NFKBIA	37	3.486	Core	0	0	1	NFKB inhibitor alpha
IFNGR1	38	3.486	Core	0	0	1	interferon gamma receptor 1
IL22RA2	39	3.484	Core	0	0	1	interleukin 22 receptor subunit alpha 2
IFNG	40	3.484	Peripheral	0	0	0	interferon gamma
SELPLG	41	3.48	Peripheral	0	0	0	selectin P ligand
IFNAR2	42	3.479	Core	0	0	1	interferon alpha and beta receptor subunit 2
HPN	43	3.466	Peripheral	0	0	0	hepsin
ATG16L1	44	3.454	Core	1	0	0	autophagy related 16 like 1
ERC1	45	3.448	Peripheral	0	0	0	ELKS/RAB6-interacting/CAST family member 1
STAT1	46	3.446	Peripheral	0	0	0	signal transducer and activator of transcription 1
NKD1	47	3.438	Core	1	0	1	NKD inhibitor of WNT signaling pathway 1
IFNA1	48	3.432	Peripheral	0	0	0	interferon alpha 1
NFKB1	49	3.43	Core	1	0	0	nuclear factor kappa B subunit 1
IL17D	50	3.427	Peripheral	0	0	0	interleukin 17D
ITGAM	51	3.426	Peripheral	0	0	0	integrin subunit alpha M
IL15	52	3.424	Peripheral	0	0	0	interleukin 15
CCNY	53	3.417	Core	1	0	1	cyclin Y
STX1B	54	3.414	Core	1	0	1	syntaxin 1B
ITGB2	55	3.405	Peripheral	0	0	0	integrin subunit beta 2
NTAN1	56	3.394	Peripheral	0	0	0	N-terminal asparagine amidase
NTAQ1	56	3.394	Peripheral	0	0	0	N-terminal glutamine amidase 1
STAT4	58	3.389	Peripheral	0	0	0	signal transducer and activator of transcription 4
IFNAR1	59	3.386	Core	0	0	1	interferon alpha and beta receptor subunit 1
IL22	60	3.373	Peripheral	0	0	0	interleukin 22
TNFAIP3	61	3.371	Core	1	0	1	TNF alpha induced protein 3
SMAD3	62	3.369	Core	1	0	1	SMAD family member 3
ATG5	63	3.363	Peripheral	0	0	0	autophagy related 5
APOBR	64	3.361	Core	1	0	1	apolipoprotein B receptor
JAK1	65	3.361	Peripheral	0	0	0	Janus kinase 1
IL13	66	3.333	Peripheral	0	0	0	interleukin 13
CCL2	67	3.319	Core	1	0	0	C-C motif chemokine ligand 2
UNC13A	68	3.316	Peripheral	0	0	0	unc-13 homolog A
IFNGR2	69	3.307	Core	1	0	0	interferon gamma receptor 2
STK11	70	3.305	Core	1	0	1	serine/threonine kinase 11
RORC	71	3.292	Core	1	0	0	RAR related orphan receptor C
SOCS3	72	3.289	Peripheral	0	0	0	suppressor of cytokine signaling 3
NPIPB7	73	3.284	Core	1	0	1	nuclear pore complex interacting protein family member B7
PRSS8	74	3.283	Core	0	0	1	serine protease 8
SOCS1	75	3.283	Core	1	0	0	suppressor of cytokine signaling 1
NAA20	76	3.28	Peripheral	0	0	0	N-alpha-acetyltransferase 20, NatB catalytic subunit
NAA25	77	3.27	Peripheral	0	0	0	N-alpha-acetyltransferase 25, NatB auxiliary subunit
IL4	78	3.269	Peripheral	0	0	0	interleukin 4
LCE3D	79	3.262	Core	1	0	1	late cornified envelope 3D
TNF	80	3.262	Peripheral	0	0	0	tumor necrosis factor
S1PR1	81	3.262	Peripheral	0	0	0	sphingosine-1-phosphate receptor 1
IL5	82	3.259	Peripheral	0	0	0	interleukin 5
RIMBP2	83	3.259	Peripheral	0	0	0	RIMS binding protein 2
PIK3R1	84	3.254	Peripheral	0	0	0	phosphoinositide-3-kinase regulatory subunit 1
CSF2	85	3.247	Peripheral	0	0	0	colony stimulating factor 2
IL7	86	3.239	Peripheral	0	0	0	interleukin 7
IL6	87	3.23	Peripheral	0	0	0	interleukin 6
IL21	88	3.226	Peripheral	0	0	0	interleukin 21
