pubmedid	journal	date	EF_id	EF_name	snp_id_current	pvalue
26974007	Nat Genet	2016-03-14	EFO:0003898	ankylosing spondylitis	rs11190133	0.000000006
26974007	Nat Genet	2016-03-14	EFO:0000676	psoriasis	rs11190133	0.000000006
26974007	Nat Genet	2016-03-14	EFO:0000729	ulcerative colitis	rs11190133	0.000000006
26974007	Nat Genet	2016-03-14	EFO:0000384	Crohn's disease	rs11190133	0.000000006
26974007	Nat Genet	2016-03-14	EFO:0004268	sclerosing cholangitis	rs11190133	0.000000006
26974007	Nat Genet	2016-03-14	EFO:0003898	ankylosing spondylitis	rs10743181	0.00000002
26974007	Nat Genet	2016-03-14	EFO:0000676	psoriasis	rs10743181	0.00000002
26974007	Nat Genet	2016-03-14	EFO:0000729	ulcerative colitis	rs10743181	0.00000002
26974007	Nat Genet	2016-03-14	EFO:0000384	Crohn's disease	rs10743181	0.00000002
26974007	Nat Genet	2016-03-14	EFO:0004268	sclerosing cholangitis	rs10743181	0.00000002
26974007	Nat Genet	2016-03-14	EFO:0003898	ankylosing spondylitis	rs11229555	0.00000004
26974007	Nat Genet	2016-03-14	EFO:0000676	psoriasis	rs11229555	0.00000004
26974007	Nat Genet	2016-03-14	EFO:0000729	ulcerative colitis	rs11229555	0.00000004
26974007	Nat Genet	2016-03-14	EFO:0000384	Crohn's disease	rs11229555	0.00000004
26974007	Nat Genet	2016-03-14	EFO:0004268	sclerosing cholangitis	rs11229555	0.00000004
26974007	Nat Genet	2016-03-14	EFO:0003898	ankylosing spondylitis	rs11230563	0.000000000000005
26974007	Nat Genet	2016-03-14	EFO:0000676	psoriasis	rs11230563	0.000000000000005
26974007	Nat Genet	2016-03-14	EFO:0000729	ulcerative colitis	rs11230563	0.000000000000005
26974007	Nat Genet	2016-03-14	EFO:0000384	Crohn's disease	rs11230563	0.000000000000005
26974007	Nat Genet	2016-03-14	EFO:0004268	sclerosing cholangitis	rs11230563	0.000000000000005
26974007	Nat Genet	2016-03-14	EFO:0003898	ankylosing spondylitis	rs174535	0.00000000002
26974007	Nat Genet	2016-03-14	EFO:0000676	psoriasis	rs174535	0.00000000002
26974007	Nat Genet	2016-03-14	EFO:0000729	ulcerative colitis	rs174535	0.00000000002
26974007	Nat Genet	2016-03-14	EFO:0000384	Crohn's disease	rs174535	0.00000000002
26974007	Nat Genet	2016-03-14	EFO:0004268	sclerosing cholangitis	rs174535	0.00000000002
26974007	Nat Genet	2016-03-14	EFO:0003898	ankylosing spondylitis	rs559928	0.00000000000008
26974007	Nat Genet	2016-03-14	EFO:0000676	psoriasis	rs559928	0.00000000000008
