Gene	Scores	Description	Evidence
IL23R	100	interleukin 23 receptor	Proximity_20000bp
RNU6-586P	90.69897002605074	RNA, U6 small nuclear 586, pseudogene	Proximity_20000bp
NOD2	85.9208187756671	nucleotide binding oligomerization domain containing 2	Proximity_20000bp
CYLD	85.9208187756671	CYLD lysine 63 deubiquitinase	Proximity_20000bp
ATG16L1	59.000000021714726	autophagy related 16 like 1	Proximity_20000bp
SCARNA5	59.000000021714726	small Cajal body-specific RNA 5	Proximity_20000bp
RNF123	46.85387198603649	ring finger protein 123	Proximity_20000bp
APEH	46.85387198603649	acylaminoacyl-peptide hydrolase	Proximity_20000bp
IRF1	47.39794003038676	interferon regulatory factor 1	Proximity_20000bp
IRF1-AS1	47.39794003038676	IRF1 antisense RNA 1	Proximity_20000bp
MST1	46.85387198603649	macrophage stimulating 1	Proximity_20000bp
BSN	46.85387198603649	bassoon presynaptic cytomatrix protein	Proximity_20000bp
CAST	45.9208187756671	calpastatin	Proximity_20000bp
ERAP1	45.9208187756671	endoplasmic reticulum aminopeptidase 1	Proximity_20000bp
LINC01475	42.9208187756671	long intergenic non-protein coding RNA 1475	Proximity_20000bp
NKX2-3	42.9208187756671	NK2 homeobox 3	Proximity_20000bp
NICN1	40.13552315868458	nicolin 1, tubulin polyglutamylase complex subunit	Proximity_20000bp
MIR3936HG	41.05285950988379	MIR3936 host gene	Proximity_20000bp
SLC22A4	41.05285950988379	solute carrier family 22 member 4	Proximity_20000bp
P4HA2	40.388759315061144	prolyl 4-hydroxylase subunit alpha 2	Proximity_20000bp
DAG1	40.52468028416904	dystroglycan 1	Proximity_20000bp
RHOA	39.87769167045308	ras homolog family member A	Proximity_20000bp
BSN-DT	40.52468028416904	BSN divergent transcript	Proximity_20000bp
AMT	40.13552315868458	aminomethyltransferase	Proximity_20000bp
GPX1	39.87769167045308	glutathione peroxidase 1	Proximity_20000bp
NKD1	40.09691003472278	NKD inhibitor of WNT signaling pathway 1	Proximity_20000bp
USP4	39.87769167045308	ubiquitin specific peptidase 4	Proximity_20000bp
TCTA	40.13552315868458	T cell leukemia translocation altered	Proximity_20000bp
SNX20	40.09691003472278	sorting nexin 20	Proximity_20000bp
SLC22A5	39.11618777791026	solute carrier family 22 member 5	Proximity_20000bp
CARD9	36.9208187756671	caspase recruitment domain family member 9	Proximity_20000bp
IRGM	34.39794003038676	immunity related GTPase M	Proximity_20000bp
SNAPC4	36.9208187756671	small nuclear RNA activating complex polypeptide 4	Proximity_20000bp
GPSM1	36.9208187756671	G protein signaling modulator 1	Proximity_20000bp
JAK2	35.000000021714726	Janus kinase 2	Proximity_20000bp
ENTR1	35.59066978712739	endosome associated trafficking regulator 1	Proximity_20000bp
PMPCA	35.03435892985722	peptidase, mitochondrial processing subunit alpha	Proximity_20000bp
EMSY	33.873745946469455	EMSY transcriptional repressor, BRCA2 interacting	Proximity_20000bp
ZNF300	33.94696566978987	zinc finger protein 300	Proximity_20000bp
