"Genes","Scores","Type","Description"
"IL23R","0.01903","Core","interleukin 23 receptor"
"RNU6-586P","0.01705","Core","RNA, U6 small nuclear 586, pseudogene"
"NOD2","0.01666","Core","nucleotide binding oligomerization domain containing 2"
"CYLD","0.01636","Core","CYLD lysine 63 deubiquitinase"
"ATG16L1","0.01148","Core","autophagy related 16 like 1"
"SCARNA5","0.01109","Core","small Cajal body-specific RNA 5"
"RNF123","0.008954","Core","ring finger protein 123"
"IRF1","0.008953","Core","interferon regulatory factor 1"
"APEH","0.008938","Core","acylaminoacyl-peptide hydrolase"
"IRF1-AS1","0.008909","Core","IRF1 antisense RNA 1"
"CAST","0.008878","Core","calpastatin"
"MST1","0.008851","Core","macrophage stimulating 1"
"BSN","0.008847","Core","bassoon presynaptic cytomatrix protein"
"ERAP1","0.008702","Core","endoplasmic reticulum aminopeptidase 1"
"LINC01475","0.008067","Core","long intergenic non-protein coding RNA 1475"
"NKX2-3","0.008067","Core","NK2 homeobox 3"
"SLC22A4","0.007743","Core","solute carrier family 22 member 4"
"MIR3936HG","0.007716","Core","MIR3936 host gene"
"NICN1","0.007712","Core","nicolin 1, tubulin polyglutamylase complex subunit"
"DAG1","0.007683","Core","dystroglycan 1"
"P4HA2","0.007653","Core","prolyl 4-hydroxylase subunit alpha 2"
"SNX20","0.007617","Core","sorting nexin 20"
"BSN-DT","0.007616","Core","BSN divergent transcript"
"RHOA","0.007598","Core","ras homolog family member A"
"AMT","0.007573","Core","aminomethyltransferase"
"NKD1","0.007555","Core","NKD inhibitor of WNT signaling pathway 1"
"TCTA","0.007545","Core","T cell leukemia translocation altered"
"USP4","0.007543","Core","ubiquitin specific peptidase 4"
"GPX1","0.007522","Core","glutathione peroxidase 1"
"SLC22A5","0.007353","Core","solute carrier family 22 member 5"
"CARD9","0.007183","Core","caspase recruitment domain family member 9"
"IRGM","0.007136","Core","immunity related GTPase M"
"GPSM1","0.006971","Core","G protein signaling modulator 1"
"SNAPC4","0.006964","Core","small nuclear RNA activating complex polypeptide 4"
"JAK2","0.006805","Core","Janus kinase 2"
"ENTR1","0.006705","Core","endosome associated trafficking regulator 1"
"PMPCA","0.006613","Core","peptidase, mitochondrial processing subunit alpha"
"EMSY","0.006398","Core","EMSY transcriptional repressor, BRCA2 interacting"
"ZNF300","0.006381","Core","zinc finger protein 300"
"SMIM3","0.006295","Core","small integral membrane protein 3"
"INAVA","0.006223","Core","innate immunity activator"
"MROH3P","0.006203","Core","maestro heat like repeat family member 3, pseudogene"
"IL10","0.006","Core","interleukin 10"
"KIF21B","0.00516","Core","kinesin family member 21B"
"ZNF300P1","0.005101","Core","zinc finger protein 300 pseudogene 1"
"CACNA1S","0.005065","Core","calcium voltage-gated channel subunit alpha1 S"
"PUS10","0.00504","Core","pseudouridine synthase 10"
"IL19","0.004871","Core","interleukin 19"
"PDGFB","0.004824","Core","platelet derived growth factor subunit B"
"RTEL1-TNFRSF6B","0.004705","Core","RTEL1-TNFRSF6B readthrough (NMD candidate)"
"FCGR2A","0.004671","Core","Fc gamma receptor IIa"
"HSPA6","0.004632","Core","heat shock protein family A (Hsp70) member 6"
"IKZF3","0.004245","Core","IKAROS family zinc finger 3"
"RTEL1","0.004232","Core","regulator of telomere elongation helicase 1"
"ARFRP1","0.004227","Core","ADP ribosylation factor related protein 1"
"ZGPAT","0.004215","Core","zinc finger CCCH-type and G-patch domain containing"
"GSDMB","0.00412","Core","gasdermin B"
"ZPBP2","0.00412","Core","zona pellucida binding protein 2"
"CLN3","0.004103","Core","CLN3 lysosomal/endosomal transmembrane protein, battenin"
"ORMDL3","0.004101","Core","ORMDL sphingolipid biosynthesis regulator 3"
"IL27","0.004077","Core","interleukin 27"
"APOBR","0.003994","Core","apolipoprotein B receptor"
"NPIPB7","0.003988","Core","nuclear pore complex interacting protein family member B7"
"CREM","0.00397","Core","cAMP responsive element modulator"
"RUNX3","0.003929","Core","RUNX family transcription factor 3"
"TNFSF15","0.003918","Core","TNF superfamily member 15"
"CUL2","0.003906","Core","cullin 2"
"CCNY","0.003901","Core","cyclin Y"
"GRB7","0.003701","Core","growth factor receptor bound protein 7"
"CAPN10","0.003618","Core","calpain 10"
"TNIP1","0.003556","Core","TNFAIP3 interacting protein 1"
"PTPN2","0.003542","Core","protein tyrosine phosphatase non-receptor type 2"
"ANXA6","0.00348","Core","annexin A6"
"LRRC3C","0.003423","Core","leucine rich repeat containing 3C"
"IL12B","0.003405","Core","interleukin 12B"
"GPR35","0.00327","Core","G protein-coupled receptor 35"
"LCE3B","0.003222","Core","late cornified envelope 3B"
"LCE3C","0.003221","Core","late cornified envelope 3C"
"LCE3A","0.00322","Core","late cornified envelope 3A"
"LCE3E","0.003218","Core","late cornified envelope 3E"
"LCE3D","0.003216","Core","late cornified envelope 3D"
"RNU4ATAC2P","0.003146","Core","RNA, U4atac small nuclear 2, pseudogene"
"RNF186","0.003139","Core","ring finger protein 186"
"TMCO4","0.003139","Core","transmembrane and coiled-coil domains 4"
"NUPR1","0.003126","Core","nuclear protein 1, transcriptional regulator"
"SGF29","0.003099","Core","SAGA complex associated factor 29"
"ICOSLG","0.003079","Core","inducible T cell costimulator ligand"
"IFT172","0.002906","Core","intraflagellar transport 172"
"GCKR","0.002902","Core","glucokinase regulator"
"FNDC4","0.002895","Core","fibronectin type III domain containing 4"
"LACC1","0.002763","Core","laccase domain containing 1"
"ICAM3","0.002751","Core","intercellular adhesion molecule 3"
"FDX2","0.00273","Core","ferredoxin 2"
"RAVER1","0.002715","Core","ribonucleoprotein, PTB binding 1"
"ZMIZ1","0.00271","Core","zinc finger MIZ-type containing 1"
"ZGLP1","0.002707","Core","zinc finger GATA like protein 1"
"CCL2","0.002576","Core","C-C motif chemokine ligand 2"
"CCDC122","0.002571","Core","coiled-coil domain containing 122"
"LNPEP","0.002534","Core","leucyl and cystinyl aminopeptidase"
"ERAP2","0.002519","Core","endoplasmic reticulum aminopeptidase 2"
"CD28","0.002465","Core","CD28 molecule"
"IL2","0.002426","Core","interleukin 2"
"EIF2B4","0.002411","Core","eukaryotic translation initiation factor 2B subunit delta"
"GTF3C2","0.002398","Core","general transcription factor IIIC subunit 2"
"ZNF513","0.002396","Core","zinc finger protein 513"
"SNX17","0.00239","Core","sorting nexin 17"
"PPM1G","0.002388","Core","protein phosphatase, Mg2+/Mn2+ dependent 1G"
"FTH1P3","0.002381","Core","ferritin heavy chain 1 pseudogene 3"
"CCL7","0.002323","Core","C-C motif chemokine ligand 7"
"TYK2","0.002287","Core","tyrosine kinase 2"
"CCL11","0.002282","Core","C-C motif chemokine ligand 11"
"ADAD1","0.002227","Core","adenosine deaminase domain containing 1"
"NFKB1","0.002226","Core","nuclear factor kappa B subunit 1"
"KIAA1109","0.002215","Core","KIAA1109"
"KSR1","0.00215","Core","kinase suppressor of ras 1"
"TNFRSF1A","0.002103","Core","TNF receptor superfamily member 1A"
"IL6R","0.002045","Core","interleukin 6 receptor"
"GPX4","0.001979","Core","glutathione peroxidase 4"
"SBNO2","0.001955","Core","strawberry notch homolog 2"
"SKAP2","0.001943","Core","src kinase associated phosphoprotein 2"
"ADCY3","0.001936","Core","adenylate cyclase 3"
"TNFAIP3","0.001862","Core","TNF alpha induced protein 3"
"FOSL2","0.001854","Core","FOS like 2, AP-1 transcription factor subunit"
"PLEKHG6","0.001853","Core","pleckstrin homology and RhoGEF domain containing G6"
"CDKAL1","0.001845","Core","CDK5 regulatory subunit associated protein 1 like 1"
"RASIP1","0.00184","Core","Ras interacting protein 1"
"FUT2","0.001832","Core","fucosyltransferase 2"
"MAMSTR","0.001823","Core","MEF2 activating motif and SAP domain containing transcriptional regulator"
"GALC","0.001785","Core","galactosylceramidase"
"IL18R1","0.001771","Core","interleukin 18 receptor 1"
"GPR65","0.001766","Core","G protein-coupled receptor 65"
"LINC01146","0.001766","Core","long intergenic non-protein coding RNA 1146"
"RNU6-835P","0.001766","Core","RNA, U6 small nuclear 835, pseudogene"
"RORC","0.001755","Core","RAR related orphan receptor C"
"IL1RL1","0.001749","Core","interleukin 1 receptor like 1"
"LRRK2","0.001744","Core","leucine rich repeat kinase 2"
"SCNN1A","0.001742","Core","sodium channel epithelial 1 subunit alpha"
"SMAD3","0.001685","Core","SMAD family member 3"
"STAT3","0.001655","Core","signal transducer and activator of transcription 3"
"IFNGR2","0.001652","Core","interferon gamma receptor 2"
"WAKMAR2","0.001635","Core","wound and keratinocyte migration associated lncRNA 2"
"THEM5","0.001589","Core","thioesterase superfamily member 5"
"THADA","0.001587","Core","THADA armadillo repeat containing"
"IL2RA","0.001579","Core","interleukin 2 receptor subunit alpha"
"C2CD4D","0.001578","Core","C2 calcium dependent domain containing 4D"
"C2CD4D-AS1","0.001578","Core","C2CD4D and THEM5 antisense RNA 1"
"ABITRAM","0.001512","Peripheral","actin binding transcription modulator"
"HNF4A","0.001491","Core","hepatocyte nuclear factor 4 alpha"
"RIMBP3C","0.001393","Core","RIMS binding protein 3C"
"OSMR","0.001362","Core","oncostatin M receptor"
"UBE2L3","0.001356","Core","ubiquitin conjugating enzyme E2 L3"
"NR5A2","0.001348","Core","nuclear receptor subfamily 5 group A member 2"
"POLR2E","0.001346","Core","RNA polymerase II, I and III subunit E"
"LINC02860","0.001346","Core","long intergenic non-protein coding RNA 2860"
"IL1R2","0.001338","Core","interleukin 1 receptor type 2"
"CCDC116","0.001334","Core","coiled-coil domain containing 116"
"RN7SKP221","0.001334","Core","RN7SK pseudogene 221"
"YDJC","0.001334","Core","YdjC chitooligosaccharide deacetylase homolog"
"CD6","0.001326","Core","CD6 molecule"
"PTPRK","0.001322","Core","protein tyrosine phosphatase receptor type K"
"SP140","0.001316","Core","SP140 nuclear body protein"
"SDF2L1","0.001291","Core","stromal cell derived factor 2 like 1"
"TNFSF8","0.001276","Core","TNF superfamily member 8"
"SEC1P","0.001262","Core","secretory blood group 1, pseudogene"
"SOCS1","0.001244","Core","suppressor of cytokine signaling 1"
"KPNB1","0.00124","Core","karyopherin subunit beta 1"
"ITGAL","0.001221","Core","integrin subunit alpha L"
"NPEPPS","0.001205","Core","aminopeptidase puromycin sensitive"
"NXPE1","0.001203","Core","neurexophilin and PC-esterase domain family member 1"
"NXPE4","0.001203","Core","neurexophilin and PC-esterase domain family member 4"
"LTBR","0.001195","Core","lymphotoxin beta receptor"
"TBKBP1","0.00119","Core","TBK1 binding protein 1"
"RMI2","0.001154","Core","RecQ mediated genome instability 2"
"MRPL45P2","0.001151","Core","mitochondrial ribosomal protein L45 pseudogene 2"
"TNP2","0.001131","Core","transition protein 2"
"PRM1","0.001128","Core","protamine 1"
"PRM2","0.001128","Core","protamine 2"
"PRM3","0.001128","Core","protamine 3"
"PARK7","0.001097","Core","Parkinsonism associated deglycase"
"RPS6KA4","0.001097","Core","ribosomal protein S6 kinase A4"
"TNFRSF9","0.001095","Core","TNF receptor superfamily member 9"
"MIR1237","0.001089","Core","microRNA 1237"
"TSPAN14","0.001082","Core","tetraspanin 14"
"ZFP36L2","0.001067","Core","ZFP36 ring finger protein like 2"
"LINC01126","0.001053","Core","long intergenic non-protein coding RNA 1126"
"LINC01620","0.001034","Core","long intergenic non-protein coding RNA 1620"
"EFCAB13","0.001028","Core","EF-hand calcium binding domain 13"
"CCDC88B","0.001021","Core","coiled-coil domain containing 88B"
